timestamp,sensor_type,value,unit
2025-09-08 13:00:00,air_temp,17.96,C
2025-09-08 13:00:00,humidity,57.07,%
2025-09-08 13:00:00,co2,747.43,ppm
2025-09-08 13:00:00,ppfd,318.04,μmol/m²/s
2025-09-08 13:00:00,solution_temp,16.42,C
2025-09-08 13:00:00,ec,1.69,mS/cm
2025-09-08 13:00:00,ph,6.63,
2025-09-08 13:10:00,air_temp,19.03,C
2025-09-08 13:10:00,humidity,79.69,%
2025-09-08 13:10:00,co2,741.8,ppm
2025-09-08 13:10:00,ppfd,301.05,μmol/m²/s
2025-09-08 13:10:00,solution_temp,23.98,C
2025-09-08 13:10:00,ec,1.73,mS/cm
2025-09-08 13:10:00,ph,6.01,
2025-09-08 13:20:00,air_temp,17.76,C
2025-09-08 13:20:00,humidity,82.42,%
2025-09-08 13:20:00,co2,1157.76,ppm
2025-09-08 13:20:00,ppfd,241.09,μmol/m²/s
2025-09-08 13:20:00,solution_temp,24.19,C
2025-09-08 13:20:00,ec,1.79,mS/cm
2025-09-08 13:20:00,ph,5.58,
2025-09-08 13:30:00,air_temp,22.38,C
2025-09-08 13:30:00,humidity,62.09,%
2025-09-08 13:30:00,co2,752.94,ppm
2025-09-08 13:30:00,ppfd,257.17,μmol/m²/s
2025-09-08 13:30:00,solution_temp,17.48,C
2025-09-08 13:30:00,ec,1.45,mS/cm
2025-09-08 13:30:00,ph,6.1,
2025-09-08 13:40:00,air_temp,18.05,C
2025-09-08 13:40:00,humidity,74.72,%
2025-09-08 13:40:00,co2,1208.93,ppm
2025-09-08 13:40:00,ppfd,404.25,μmol/m²/s
2025-09-08 13:40:00,solution_temp,18.9,C
2025-09-08 13:40:00,ec,1.95,mS/cm
2025-09-08 13:40:00,ph,5.93,
2025-09-08 13:50:00,air_temp,17.29,C
2025-09-08 13:50:00,humidity,82.67,%
2025-09-08 13:50:00,co2,881.58,ppm
2025-09-08 13:50:00,ppfd,213.16,μmol/m²/s
2025-09-08 13:50:00,solution_temp,18.1,C
2025-09-08 13:50:00,ec,1.84,mS/cm
2025-09-08 13:50:00,ph,6.56,
2025-09-08 14:00:00,air_temp,22.96,C
2025-09-08 14:00:00,humidity,61.83,%
2025-09-08 14:00:00,co2,1066.34,ppm
2025-09-08 14:00:00,ppfd,272.0,μmol/m²/s
2025-09-08 14:00:00,solution_temp,22.98,C
2025-09-08 14:00:00,ec,1.33,mS/cm
2025-09-08 14:00:00,ph,5.86,
2025-09-08 14:10:00,air_temp,18.61,C
2025-09-08 14:10:00,humidity,64.32,%
2025-09-08 14:10:00,co2,1042.64,ppm
2025-09-08 14:10:00,ppfd,427.91,μmol/m²/s
2025-09-08 14:10:00,solution_temp,20.35,C
2025-09-08 14:10:00,ec,1.55,mS/cm
2025-09-08 14:10:00,ph,6.41,
2025-09-08 14:20:00,air_temp,23.48,C
2025-09-08 14:20:00,humidity,79.6,%
2025-09-08 14:20:00,co2,776.08,ppm
2025-09-08 14:20:00,ppfd,224.17,μmol/m²/s
2025-09-08 14:20:00,solution_temp,18.47,C
2025-09-08 14:20:00,ec,1.19,mS/cm
2025-09-08 14:20:00,ph,6.35,
2025-09-08 14:30:00,air_temp,20.25,C
2025-09-08 14:30:00,humidity,63.83,%
2025-09-08 14:30:00,co2,1033.71,ppm
2025-09-08 14:30:00,ppfd,394.84,μmol/m²/s
2025-09-08 14:30:00,solution_temp,17.93,C
2025-09-08 14:30:00,ec,1.28,mS/cm
2025-09-08 14:30:00,ph,6.78,
2025-09-08 14:40:00,air_temp,20.25,C
2025-09-08 14:40:00,humidity,59.98,%
2025-09-08 14:40:00,co2,882.94,ppm
2025-09-08 14:40:00,ppfd,195.33,μmol/m²/s
2025-09-08 14:40:00,solution_temp,23.24,C
2025-09-08 14:40:00,ec,1.59,mS/cm
2025-09-08 14:40:00,ph,5.48,
2025-09-08 14:50:00,air_temp,19.15,C
2025-09-08 14:50:00,humidity,85.37,%
2025-09-08 14:50:00,co2,953.42,ppm
2025-09-08 14:50:00,ppfd,316.9,μmol/m²/s
2025-09-08 14:50:00,solution_temp,18.91,C
2025-09-08 14:50:00,ec,1.62,mS/cm
2025-09-08 14:50:00,ph,5.34,
2025-09-08 15:00:00,air_temp,20.05,C
2025-09-08 15:00:00,humidity,58.33,%
2025-09-08 15:00:00,co2,1035.34,ppm
2025-09-08 15:00:00,ppfd,411.14,μmol/m²/s
2025-09-08 15:00:00,solution_temp,16.38,C
2025-09-08 15:00:00,ec,1.73,mS/cm
2025-09-08 15:00:00,ph,6.1,
2025-09-08 15:10:00,air_temp,20.92,C
2025-09-08 15:10:00,humidity,79.79,%
2025-09-08 15:10:00,co2,1146.9,ppm
2025-09-08 15:10:00,ppfd,255.54,μmol/m²/s
2025-09-08 15:10:00,solution_temp,20.13,C
2025-09-08 15:10:00,ec,1.3,mS/cm
2025-09-08 15:10:00,ph,5.73,
2025-09-08 15:20:00,air_temp,17.01,C
2025-09-08 15:20:00,humidity,54.71,%
2025-09-08 15:20:00,co2,1252.43,ppm
2025-09-08 15:20:00,ppfd,214.2,μmol/m²/s
2025-09-08 15:20:00,solution_temp,17.88,C
2025-09-08 15:20:00,ec,1.43,mS/cm
2025-09-08 15:20:00,ph,6.27,
2025-09-08 15:30:00,air_temp,22.11,C
2025-09-08 15:30:00,humidity,87.2,%
